2020-04-26 15:04:189 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-26 15:04:204 INFO  HomePage :45 - Entering Username : Admin [[ChromeDriver: chrome on WINDOWS (b6be814df0f59f1eeae23d39d4637fc5)] -> id: txtUsername]
2020-04-26 15:04:382 INFO  HomePage :51 - Entering Password : admin123 [[ChromeDriver: chrome on WINDOWS (b6be814df0f59f1eeae23d39d4637fc5)] -> id: txtPassword]
2020-04-26 15:04:648 INFO  HomePage :57 - Clicking on Login Button : Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-26 15:04:712 INFO  WelcomeAdminPage :23 - Displaying Welcome AdminText : [[ChromeDriver: chrome on WINDOWS (b6be814df0f59f1eeae23d39d4637fc5)] -> xpath: //a[@id='welcome']]
2020-04-26 15:04:785 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-26 15:04:634 INFO  HomePage :45 - Entering Username : Admin [[ChromeDriver: chrome on WINDOWS (3530414920a5bc49e4485eba2d04ca98)] -> id: txtUsername]
2020-04-26 15:04:816 INFO  HomePage :51 - Entering Password : admin1236789 [[ChromeDriver: chrome on WINDOWS (3530414920a5bc49e4485eba2d04ca98)] -> id: txtPassword]
2020-04-26 15:04:780 INFO  HomePage :57 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (3530414920a5bc49e4485eba2d04ca98)] -> id: btnLogin]
2020-04-26 15:04:828 INFO  HomePage :62 - Displaying Login Error Message : [[ChromeDriver: chrome on WINDOWS (3530414920a5bc49e4485eba2d04ca98)] -> id: spanMessage]
2020-04-26 15:04:880 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-26 15:04:371 INFO  HomePage :45 - Entering Username : Admin [[ChromeDriver: chrome on WINDOWS (b8a165631de343eef9be6376d92721e4)] -> id: txtUsername]
2020-04-26 15:04:559 INFO  HomePage :51 - Entering Password : admin123 [[ChromeDriver: chrome on WINDOWS (b8a165631de343eef9be6376d92721e4)] -> id: txtPassword]
2020-04-26 15:04:928 INFO  HomePage :57 - Clicking on Login Button : Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-26 15:04:884 INFO  HomePage :41 - Clicking on PIM Link : [[ChromeDriver: chrome on WINDOWS (b8a165631de343eef9be6376d92721e4)] -> xpath: //b[contains(text(),'PIM')]]
2020-04-26 15:04:20 INFO  HomePage :50 - Enter Employee Name :  Fiona Grace On Employee name Field [[ChromeDriver: chrome on WINDOWS (b8a165631de343eef9be6376d92721e4)] -> id: empsearch_employee_name_empName]
2020-04-26 15:04:675 INFO  HomePage :55 - Clicking on PIM Link : [[ChromeDriver: chrome on WINDOWS (b8a165631de343eef9be6376d92721e4)] -> id: searchBtn]
2020-04-26 15:04:713 INFO  HomePage :59 - Displaying Welcome AdminText : [[ChromeDriver: chrome on WINDOWS (b8a165631de343eef9be6376d92721e4)] -> xpath: //a[contains(text(),'Fiona')]]
2020-04-26 15:04:846 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-26 15:04:950 INFO  HomePage :45 - Entering Username : Admin [[ChromeDriver: chrome on WINDOWS (e05729a2e42669eae92c1cbf3fdd0ff2)] -> id: txtUsername]
2020-04-26 15:04:151 INFO  HomePage :51 - Entering Password : admin123 [[ChromeDriver: chrome on WINDOWS (e05729a2e42669eae92c1cbf3fdd0ff2)] -> id: txtPassword]
2020-04-26 15:04:596 INFO  HomePage :57 - Clicking on Login Button : Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-26 15:04:545 INFO  HomePage :41 - Clicking on PIM Link : [[ChromeDriver: chrome on WINDOWS (e05729a2e42669eae92c1cbf3fdd0ff2)] -> xpath: //b[contains(text(),'PIM')]]
2020-04-26 15:04:695 INFO  HomePage :50 - Enter Employee Name :   Robert   Moore On Employee name Field [[ChromeDriver: chrome on WINDOWS (e05729a2e42669eae92c1cbf3fdd0ff2)] -> id: empsearch_employee_name_empName]
2020-04-26 15:04:328 INFO  HomePage :55 - Clicking on PIM Link : [[ChromeDriver: chrome on WINDOWS (e05729a2e42669eae92c1cbf3fdd0ff2)] -> id: searchBtn]
2020-04-26 15:04:361 INFO  HomePage :65 - Displaying No records Message : Proxy element for: DefaultElementLocator 'By.xpath: //td[contains(text(),'No Records Found')]'
2020-04-26 15:04:992 INFO  BrowserSelector :23 - Launching Chrome Browser
